iter	RMSE
0	292.8328522
1	288.0797025
2	283.7619648
3	279.7226944
4	276.0549787
5	272.7145005
6	269.4133848
7	266.3539132
8	263.4406415
9	260.7800996
10	258.2220391
11	255.7627696
12	253.5892988
13	251.3115554
14	249.1334529
15	246.9715582
16	244.7748022
17	242.9102041
18	241.0834958
19	239.5934818
20	237.8325836
21	236.3753875
22	234.9869754
23	233.6733023
24	232.3486459
25	231.1499278
26	229.6948148
27	228.600873
28	227.3876531
29	226.1398662
30	224.9342926
31	223.6172515
32	222.6190318
33	221.4962203
34	220.4078528
35	219.1533576
36	218.194528
37	217.1809744
38	216.2146437
39	215.333336
40	214.5077884
41	213.632307
42	212.9045335
43	212.0974158
44	211.2305367
45	210.4313327
46	209.7829951
47	209.1938063
48	208.393038
49	207.6761002
50	206.8645726
51	206.1180769
52	205.4678859
53	204.849997
54	204.2534763
55	203.7154609
56	203.1808072
57	202.684177
58	201.9929772
59	201.4035373
60	200.8937373
61	200.1241638
62	199.5823315
63	199.1603674
64	198.728021
65	198.3392129
66	197.9214475
67	197.5311741
68	196.7154611
69	195.9438759
70	195.4433226
71	194.9905987
72	194.5422318
73	194.1706445
74	193.4844697
75	192.869941
76	192.56728
77	192.1703398
78	191.771751
79	191.4021664
80	190.8758506
81	190.4840387
82	190.1928546
83	189.7214135
84	189.4155092
85	189.0828767
86	188.7968909
87	188.4131354
88	188.1200009
89	187.4859559
90	187.121167
91	186.7872535
92	186.5539085
93	186.1595098
94	185.9223501
95	185.6693554
96	185.3508861
97	185.0901814
98	184.8053069
99	184.5989176
100	184.0674062
101	183.8628858
102	183.6299026
103	183.4737437
104	182.8609096
105	182.628684
106	182.4152933
107	182.0964474
108	181.769253
109	181.5260209
110	181.3117562
111	180.9287559
112	180.6235194
113	180.1188707
114	179.8687059
115	179.6031267
116	179.4184505
117	179.116111
118	178.9111519
119	178.7222995
120	178.4681036
121	178.3524137
122	178.21131
123	177.8618947
124	177.6306074
125	177.4806996
126	177.2867264
127	176.9904771
128	176.728523
129	176.3894729
130	176.0331518
131	175.8131439
132	175.6324979
133	175.5018919
134	175.2567577
135	175.123121
136	175.0097518
137	174.8186461
138	174.5424456
139	174.3464479
140	174.036725
141	173.8537606
142	173.6741123
143	173.4903049
144	173.2809757
145	173.1808616
146	173.035197
147	172.8672767
148	172.7014078
149	172.4695992
150	172.1903168
151	171.9698925
152	171.7982729
153	171.6946405
154	171.588641
155	171.4098401
156	171.2351158
157	171.1226333
158	170.841775
159	170.7126285
160	170.6429022
161	170.5388027
162	170.3966175
163	170.127815
164	169.9909033
165	169.8143761
166	169.6512278
167	169.4758491
168	169.3756334
169	169.2154047
170	168.9727721
171	168.8612314
172	168.7371869
173	168.6159729
174	168.3438209
175	168.2445161
176	168.0554093
177	167.7300722
178	167.6203085
179	167.4980249
180	167.4330268
181	167.2119457
182	167.1236195
183	166.9815282
184	166.885864
185	166.6786383
186	166.5774205
187	166.4351743
188	166.3111526
189	166.2283526
190	166.1472323
191	165.9337311
192	165.8725924
193	165.7221973
194	165.5795186
195	165.4807257
196	165.4073942
197	165.263647
198	165.2184634
199	165.0053655
200	164.8702923
201	164.7588684
202	164.6300348
203	164.5512442
204	164.4671358
205	164.2950516
206	164.218082
207	164.1277669
208	163.9477381
209	163.7322578
210	163.4603365
211	163.4016771
212	163.077503
213	162.9733671
214	162.8721109
215	162.7938816
216	162.7327264
217	162.6031051
218	162.2697539
219	162.0712418
220	161.9635537
221	161.9221961
222	161.8002909
223	161.601881
224	161.3628531
225	161.1941016
226	160.9434197
227	160.8786702
228	160.8064662
229	160.6968889
230	160.629199
231	160.3446524
232	160.1750259
233	160.0192754
234	159.8180385
235	159.6681694
236	159.575364
237	159.3636556
238	159.2265968
239	159.113413
240	159.0634398
241	158.9250652
242	158.7756594
243	158.6414027
244	158.5816061
245	158.5178619
246	158.4518209
247	158.1714197
248	158.1187485
249	158.0278142
250	157.8746341
251	157.7651417
252	157.6601243
253	157.5366252
254	157.4415022
255	157.3606895
256	157.3107334
257	157.1259788
258	156.9675269
259	156.8252684
260	156.67556
261	156.4885515
262	156.3349777
263	156.2195597
264	156.144307
265	155.9048511
266	155.8413228
267	155.7924277
268	155.7093025
269	155.5930062
270	155.4338745
271	155.3681354
272	155.3141358
273	155.1761662
274	155.0393676
