iter	Passed	Remaining
0	4	4807
1	6	3162
2	7	2532
3	9	2265
4	10	2081
5	11	1971
6	13	1902
7	14	1835
8	16	1786
9	17	1748
10	18	1690
11	20	1670
12	21	1629
13	22	1603
14	24	1577
15	25	1546
16	26	1518
17	27	1502
18	28	1491
19	30	1477
20	31	1475
21	32	1464
22	34	1454
23	35	1448
24	37	1449
25	38	1441
26	39	1432
27	41	1426
28	42	1420
29	43	1418
30	45	1416
31	46	1415
32	48	1415
33	49	1409
34	50	1403
35	52	1401
36	54	1405
37	55	1399
38	56	1394
39	57	1389
40	59	1385
41	60	1382
42	61	1379
43	63	1375
44	64	1374
45	66	1371
46	67	1373
47	69	1372
48	70	1372
49	72	1369
50	73	1369
51	74	1366
52	76	1362
53	77	1360
54	79	1359
55	80	1356
56	81	1354
57	83	1356
58	84	1354
59	86	1352
60	87	1350
61	89	1347
62	90	1343
63	91	1342
64	93	1342
65	94	1341
66	96	1339
67	97	1338
68	99	1341
69	100	1340
70	102	1339
71	103	1338
72	105	1339
73	107	1341
74	108	1343
75	110	1346
76	112	1346
77	113	1345
78	115	1346
79	117	1345
80	119	1351
81	120	1348
82	121	1343
83	122	1340
84	124	1338
85	125	1333
86	126	1330
87	127	1326
88	129	1323
89	130	1322
90	132	1319
91	133	1317
92	134	1316
93	136	1314
94	137	1311
95	138	1307
96	140	1306
97	141	1303
98	142	1301
99	144	1298
100	145	1296
101	146	1293
102	148	1292
103	149	1289
104	151	1287
105	152	1284
106	153	1282
107	155	1282
108	156	1280
109	158	1278
110	159	1275
111	160	1273
112	161	1271
113	163	1269
114	165	1269
115	166	1268
116	167	1266
117	169	1267
118	171	1268
119	172	1267
120	174	1266
121	175	1263
122	177	1262
123	178	1260
124	179	1258
125	181	1257
126	182	1254
127	183	1253
128	185	1251
129	186	1250
130	188	1249
131	189	1248
132	191	1246
133	192	1244
134	193	1242
135	195	1240
136	196	1238
137	197	1236
138	199	1234
139	200	1233
140	202	1231
141	203	1231
142	205	1230
143	206	1229
144	208	1229
145	209	1228
146	211	1225
147	212	1224
148	214	1223
149	215	1222
150	217	1221
151	218	1219
152	220	1218
153	221	1217
154	223	1216
155	224	1215
156	226	1214
157	227	1211
158	228	1210
159	230	1210
160	231	1207
161	233	1206
162	234	1204
163	236	1203
164	237	1201
165	238	1198
166	240	1197
167	241	1197
168	243	1195
169	244	1194
170	245	1192
171	247	1191
172	248	1189
173	250	1188
174	251	1187
175	253	1185
176	254	1185
177	256	1184
178	257	1182
179	259	1180
180	260	1179
181	262	1178
182	263	1176
183	264	1174
184	266	1173
185	267	1172
186	269	1170
187	270	1169
188	272	1168
189	273	1166
190	274	1164
191	276	1163
192	277	1161
193	279	1159
194	280	1157
195	281	1155
196	283	1155
197	285	1154
198	287	1155
199	288	1155
200	290	1155
201	292	1154
202	293	1153
203	295	1153
204	297	1153
205	298	1152
206	300	1151
207	302	1150
208	303	1150
209	305	1149
210	307	1148
211	308	1148
212	310	1147
213	312	1147
214	313	1146
215	315	1145
216	317	1144
217	318	1143
218	320	1143
219	322	1142
220	323	1141
221	325	1141
222	326	1139
223	328	1138
224	329	1136
225	331	1135
226	332	1133
227	334	1133
228	336	1132
229	338	1131
230	339	1130
231	341	1130
232	342	1128
233	344	1128
234	346	1126
235	347	1125
236	349	1125
237	351	1126
238	353	1126
239	355	1125
240	357	1124
241	359	1125
242	362	1127
243	364	1129
244	367	1131
245	369	1133
246	371	1131
247	372	1130
248	374	1129
249	376	1129
250	378	1130
251	381	1132
252	382	1130
253	384	1129
254	386	1129
255	388	1128
256	389	1127
257	391	1126
258	393	1126
259	395	1124
260	396	1123
261	398	1123
262	401	1124
263	403	1123
264	404	1122
265	406	1122
266	408	1122
267	410	1121
268	412	1121
269	414	1120
270	416	1120
271	418	1118
272	419	1117
273	421	1115
274	423	1117
275	428	1123
276	431	1127
277	433	1125
278	435	1124
279	436	1122
280	438	1121
281	440	1121
282	441	1119
283	443	1118
284	445	1117
285	446	1115
286	448	1114
287	450	1113
288	452	1112
289	453	1111
290	455	1110
291	457	1109
292	459	1109
293	461	1107
294	463	1107
295	465	1106
296	467	1107
297	469	1106
298	472	1107
299	474	1106
300	476	1106
301	478	1105
302	480	1104
303	482	1103
304	484	1102
305	485	1101
306	487	1101
307	490	1101
308	492	1100
309	494	1100
310	496	1099
311	499	1100
312	501	1100
313	503	1099
314	505	1098
315	506	1097
316	510	1099
317	512	1098
318	514	1098
319	516	1097
320	518	1096
321	520	1096
322	523	1097
323	526	1099
324	528	1098
325	531	1097
326	533	1097
327	535	1096
328	537	1095
329	538	1094
330	541	1093
331	543	1093
332	546	1094
333	548	1093
334	550	1092
335	552	1090
336	553	1089
337	555	1088
338	557	1087
339	560	1087
340	562	1086
341	564	1085
342	566	1084
343	568	1083
344	570	1082
345	572	1083
346	575	1082
347	576	1080
348	578	1079
349	580	1077
350	581	1075
351	583	1074
352	585	1073
353	587	1072
354	589	1071
355	591	1069
356	593	1069
357	595	1068
358	597	1067
359	599	1065
360	601	1064
361	603	1064
362	606	1063
363	608	1062
364	610	1061
365	612	1061
366	615	1061
367	617	1060
